modulo_codigo,modulo,submodulo_codigo,submodulo,ordem_funcao,funcao
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,3,"Registrar NCM/posição tarifária, origem, valor aduaneiro e dados do despacho."
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,4,"Controlar canal aduaneiro, exigências, verificações, bloqueios, garantias e liberações."
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,5,"Registrar direitos de importação, taxa estatística, arancel SIM e demais conceitos aduaneiros."
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,6,"Vincular despachante, aduana, terminal, depósito fiscal e documentos apresentados."
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,7,Manter histórico de retificações e eventos sem sobrescrever o despacho original.
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,8,"Gerar eventos fiscais, contábeis, de landed cost e de entrada em estoque."
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",1,"Receber documentos por upload, e-mail, API ou importação em lote."
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",2,"Classificar proforma, invoice, packing list, BL, booking, despacho, comprovantes e faturas de gastos."
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",3,Extrair campos e itens por OCR com confiança por campo e revisão humana.
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",4,"Associar automaticamente documentos ao pedido, fornecedor, contêiner e despacho."
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",5,"Comparar documentos e abrir divergências por quantidade, valor, SKU, peso ou identificação."
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",6,"Abrir ocorrências, atribuir responsável, prazo, prioridade, evidência e resolução."
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",7,"Controlar vencimentos, ETA, free time, devolução, pagamentos e documentos faltantes."
COMEX,COMEX,SM-COMEX-04,"Documentos, OCR, ocorrências e prazos",8,"Manter versionamento, trilha de auditoria, busca integral e visualização lado a lado."
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",1,"Registrar chegada, descarga, desconsolidação e confirmação do depósito."
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",2,"Conferir quantidade recebida contra packing list, despacho e contêiner."
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",3,"Tratar faltas, sobras, avarias, mercadoria bloqueada e ocorrências com operador."
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",4,"Gerar entrada em estoque por SKU, despacho, contêiner e camada de custo."
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",5,Controlar prazo e comprovante de devolução do contêiner.
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",6,Registrar gastos finais e custos tardios vinculados à importação.
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",7,"Validar checklist de encerramento operacional, documental, financeiro e aduaneiro."
COMEX,COMEX,SM-COMEX-05,"Recebimento, devolução e fechamento",8,"Reabrir a importação com permissão, motivo e histórico completo."
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,1,Manter catálogo versionado de componentes de custo e sua natureza.
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,2,"Classificar cada componente como elegível ou não para custo contábil, gerencial e cash-out."
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,3,"Separar valores líquidos, IVA, percepções, retenções e créditos recuperáveis."
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,4,"Definir vigência, moeda, fornecedor, centro de custo e regra padrão de rateio."
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,5,"Distinguir frete, seguro, porto, despachante, linha marítima, operador, transporte e direitos aduaneiros."
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,6,"Permitir ativação, desativação e nova versão sem apagar o histórico."
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,7,"Validar combinação de componente, documento, regime e base de custo."
LANDED,Landed cost,SM-LANDED-01,Catálogo de componentes e elegibilidade,8,"Expor o catálogo para compras, COMEX, fiscal, contabilidade e relatórios."
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,1,"Criar pool de custo por importação, despacho, contêiner ou agrupamento configurado."
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,2,"Incorporar estimativas, provisões, faturas e documentos aduaneiros."
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,3,"Controlar valores estimados, confirmados, cancelados e pendentes."
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,4,Converter moedas pela taxa do evento e preservar moeda original e taxa utilizada.
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,5,Evitar duplicidade de fatura ou componente dentro do pool.
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,6,Exibir documentos faltantes e diferenças entre estimativa e valor real.
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,7,Submeter o pool para revisão e aprovação.
LANDED,Landed cost,SM-LANDED-02,Pools provisórios e documentos,8,Versionar o pool sem apagar o cálculo anterior.
LANDED,Landed cost,SM-LANDED-03,Rateio e simulador,1,"Ratear por FOB, quantidade, peso, volume, percentual ou regra configurável."
LANDED,Landed cost,SM-LANDED-03,Rateio e simulador,2,Permitir regra diferente por componente de custo.
LANDED,Landed cost,SM-LANDED-03,Rateio e simulador,3,Simular o impacto antes de aplicar ao estoque.
LANDED,Landed cost,SM-LANDED-03,Rateio e simulador,4,"Exibir valor total, base, fator, arredondamento e valor por SKU/linha."
LANDED,Landed cost,SM-LANDED-03,Rateio e simulador,5,Garantir fechamento exato entre pool e soma das alocações.
LANDED,Landed cost,SM-LANDED-03,Rateio e simulador,6,"Tratar linhas sem base, base zero, diferenças de arredondamento e exclusões."
LANDED,Landed cost,SM-LANDED-03,Rateio e simulador,7,Comparar cenários de rateio lado a lado.
LANDED,Landed cost,SM-LANDED-03,Rateio e simulador,8,Exportar memória de cálculo e manter rastreabilidade até o documento de origem.
LANDED,Landed cost,SM-LANDED-04,Aplicação a estoque e margem,1,Aplicar custo aprovado às camadas de estoque correspondentes.
LANDED,Landed cost,SM-LANDED-04,Aplicação a estoque e margem,2,"Manter separadas as quatro bases: contábil, gerencial, cash-out e provisória."
LANDED,Landed cost,SM-LANDED-04,Aplicação a estoque e margem,3,"Atualizar custo unitário por SKU, despacho, contêiner e camada FIFO."
LANDED,Landed cost,SM-LANDED-04,Aplicação a estoque e margem,4,Calcular margem sobre preço líquido e margem sobre custo.
LANDED,Landed cost,SM-LANDED-04,Aplicação a estoque e margem,5,Recalcular disponibilidade e rentabilidade sem alterar quantidades físicas.
LANDED,Landed cost,SM-LANDED-04,Aplicação a estoque e margem,6,Gerar eventos contábeis e gerenciais da aplicação.
LANDED,Landed cost,SM-LANDED-04,Aplicação a estoque e margem,7,Exibir impacto no estoque remanescente e nas vendas ainda não reconhecidas.
LANDED,Landed cost,SM-LANDED-04,Aplicação a estoque e margem,8,Bloquear aplicação duplicada da mesma versão do pool.
LANDED,Landed cost,SM-LANDED-05,Custos tardios e reconciliação,1,Registrar faturas e gastos recebidos depois da aplicação inicial.
LANDED,Landed cost,SM-LANDED-05,Custos tardios e reconciliação,2,"Reabrir cálculo por nova versão, sem apagar a versão anterior."
LANDED,Landed cost,SM-LANDED-05,Custos tardios e reconciliação,3,Alocar a parcela correspondente ao estoque remanescente.
LANDED,Landed cost,SM-LANDED-05,Custos tardios e reconciliação,4,Levar a parcela referente a mercadoria já vendida para ajuste do período conforme regra aprovada.
LANDED,Landed cost,SM-LANDED-05,Custos tardios e reconciliação,5,"Reconciliar documentos, pool, rateio, estoque e contabilização."
LANDED,Landed cost,SM-LANDED-05,Custos tardios e reconciliação,6,Exibir provisório versus definitivo e variações por componente e SKU.
LANDED,Landed cost,SM-LANDED-05,Custos tardios e reconciliação,7,Gerar exceções para diferenças não explicadas.
LANDED,Landed cost,SM-LANDED-05,Custos tardios e reconciliação,8,Emitir relatório de fechamento e memória de cálculo auditável.
FISCAL,Fiscal,SM-FISCAL-01,Motor tributário e vigências,1,Manter regras tributárias versionadas por data de vigência.
FISCAL,Fiscal,SM-FISCAL-01,Motor tributário e vigências,2,"Determinar IVA, IIBB, percepções, retenções e demais tributos por operação."
FISCAL,Fiscal,SM-FISCAL-01,Motor tributário e vigências,3,"Considerar jurisdição, província, condição fiscal do cliente, tipo de documento e item."
FISCAL,Fiscal,SM-FISCAL-01,Motor tributário e vigências,4,Validar CUIT e condição de IVA.
FISCAL,Fiscal,SM-FISCAL-01,Motor tributário e vigências,5,Importar e aplicar padrón COMARB/AGIP ou fonte configurada.
FISCAL,Fiscal,SM-FISCAL-01,Motor tributário e vigências,6,Simular cálculo antes da emissão.
FISCAL,Fiscal,SM-FISCAL-01,Motor tributário e vigências,7,"Explicar a regra aplicada, base, alíquota, fonte e exceção."
FISCAL,Fiscal,SM-FISCAL-01,Motor tributário e vigências,8,Preservar histórico quando uma alíquota ou condição mudar.
FISCAL,Fiscal,SM-FISCAL-02,Emissão SI Factura/ARCA,1,"Determinar Factura A, B ou C conforme aplicabilidade."
FISCAL,Fiscal,SM-FISCAL-02,Emissão SI Factura/ARCA,2,"Gerar cabeçalho, linhas, tributos, descrição e referência ao despacho."
FISCAL,Fiscal,SM-FISCAL-02,Emissão SI Factura/ARCA,3,Enviar comprovante à SI Factura por adapter substituível.
FISCAL,Fiscal,SM-FISCAL-02,Emissão SI Factura/ARCA,4,"Controlar API key, ambiente, idempotência, timeout, retry e fila."
FISCAL,Fiscal,SM-FISCAL-02,Emissão SI Factura/ARCA,5,"Registrar CAE, vencimento, número, ponto de venda e resposta completa."
FISCAL,Fiscal,SM-FISCAL-02,Emissão SI Factura/ARCA,6,"Tratar pendência, rejeição, indisponibilidade e reenvio sem duplicidade."
FISCAL,Fiscal,SM-FISCAL-02,Emissão SI Factura/ARCA,7,Importar comprovante emitido diretamente na ARCA e vinculá-lo à operação.
FISCAL,Fiscal,SM-FISCAL-02,Emissão SI Factura/ARCA,8,"Disponibilizar PDF, dados estruturados e trilha de auditoria."
FISCAL,Fiscal,SM-FISCAL-03,"Notas, remitos e contingência",1,Emitir nota de crédito e nota de débito vinculadas ao documento original.
FISCAL,Fiscal,SM-FISCAL-03,"Notas, remitos e contingência",2,"Emitir remito de saída e manter vínculo com pedido, entrega e depósito."
FISCAL,Fiscal,SM-FISCAL-03,"Notas, remitos e contingência",3,"Controlar motivo, valores, itens e saldo remanescente do documento original."
FISCAL,Fiscal,SM-FISCAL-03,"Notas, remitos e contingência",4,Gerar comprovante interno não fiscal quando a autorização externa estiver indisponível.
FISCAL,Fiscal,SM-FISCAL-03,"Notas, remitos e contingência",5,Impedir criação offline de CAE ou numeração fiscal fictícia.
FISCAL,Fiscal,SM-FISCAL-03,"Notas, remitos e contingência",6,Enfileirar emissão fiscal para sincronização posterior.
FISCAL,Fiscal,SM-FISCAL-03,"Notas, remitos e contingência",7,"Controlar cancelamento, substituição e documentação de contingência."
FISCAL,Fiscal,SM-FISCAL-03,"Notas, remitos e contingência",8,"Reconciliar remito assinado, entrega e documento fiscal."
FISCAL,Fiscal,SM-FISCAL-04,"Percepções, retenções e obrigações",1,Calcular percepções e retenções por jurisdição e natureza da operação.
FISCAL,Fiscal,SM-FISCAL-04,"Percepções, retenções e obrigações",2,"Registrar créditos, débitos e saldos fiscais por tributo."
FISCAL,Fiscal,SM-FISCAL-04,"Percepções, retenções e obrigações",3,Gerar calendário de obrigações e vencimentos.
FISCAL,Fiscal,SM-FISCAL-04,"Percepções, retenções e obrigações",4,Preparar apurações mensais e demais periodicidades configuradas.
FISCAL,Fiscal,SM-FISCAL-04,"Percepções, retenções e obrigações",5,"Controlar certificados de exclusão, isenção ou condição especial."
FISCAL,Fiscal,SM-FISCAL-04,"Percepções, retenções e obrigações",6,Registrar comprovantes de retenção/percepção recebidos e emitidos.
FISCAL,Fiscal,SM-FISCAL-04,"Percepções, retenções e obrigações",7,"Gerar arquivos, relatórios e bases para declarações."
FISCAL,Fiscal,SM-FISCAL-04,"Percepções, retenções e obrigações",8,"Alertar divergências entre cálculo do ERP, documento e declaração."
FISCAL,Fiscal,SM-FISCAL-05,Reconciliação e auditoria fiscal,1,"Reconciliar documentos fiscais com vendas, compras, tesouraria e contabilidade."
FISCAL,Fiscal,SM-FISCAL-05,Reconciliação e auditoria fiscal,2,Comparar autorização externa com registro interno.
FISCAL,Fiscal,SM-FISCAL-05,Reconciliação e auditoria fiscal,3,"Localizar documentos faltantes, duplicados, rejeitados ou pendentes."
FISCAL,Fiscal,SM-FISCAL-05,Reconciliação e auditoria fiscal,4,Permitir drill-down da apuração até documento e linha.
FISCAL,Fiscal,SM-FISCAL-05,Reconciliação e auditoria fiscal,5,Controlar trilha de alterações de regra e vigência.
FISCAL,Fiscal,SM-FISCAL-05,Reconciliação e auditoria fiscal,6,Gerar evidências para auditoria e contador.
FISCAL,Fiscal,SM-FISCAL-05,Reconciliação e auditoria fiscal,7,Registrar ajustes e retificações sem apagar o período original.
FISCAL,Fiscal,SM-FISCAL-05,Reconciliação e auditoria fiscal,8,"Emitir painel de riscos, obrigações e inconsistências fiscais."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-01,Plano de contas e dimensões,1,"Manter plano de contas hierárquico, códigos, natureza e grupos."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-01,Plano de contas e dimensões,2,Criar contas sintéticas e analíticas com vigência e status.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-01,Plano de contas e dimensões,3,"Manter centros de custo, centros de resultado e dimensões combináveis."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-01,Plano de contas e dimensões,4,Validar combinações obrigatórias ou proibidas por conta e evento.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-01,Plano de contas e dimensões,5,"Mapear contas para balanço, DRE e demais demonstrações."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-01,Plano de contas e dimensões,6,"Importar, revisar e versionar estrutura contábil."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-01,Plano de contas e dimensões,7,Desativar conta sem apagar lançamentos históricos.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-01,Plano de contas e dimensões,8,"Controlar responsáveis, aprovações e trilha de alteração."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-02,Motor de lançamentos e journals,1,Receber eventos dos módulos e gerar proposta contábil.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-02,Motor de lançamentos e journals,2,"Aplicar regra de débito, crédito, conta, dimensão, moeda e histórico."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-02,Motor de lançamentos e journals,3,Criar lançamentos manuais com dupla partida obrigatória.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-02,Motor de lançamentos e journals,4,Validar débito igual a crédito antes da postagem.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-02,Motor de lançamentos e journals,5,"Aprovar, postar, reverter, estornar e reapresentar lançamentos."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-02,Motor de lançamentos e journals,6,Impedir duplicidade por idempotency key do evento de origem.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-02,Motor de lançamentos e journals,7,"Manter vínculo até documento, workflow e usuário de origem."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-02,Motor de lançamentos e journals,8,Executar lançamentos em lote com validação por linha.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-03,Moedas e diferenças cambiais,1,Manter ARS como moeda funcional e USD como moeda de apresentação.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-03,Moedas e diferenças cambiais,2,"Registrar moeda original, taxa, fonte, data e valor funcional em cada evento."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-03,Moedas e diferenças cambiais,3,Usar câmbio master para demonstrações em USD.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-03,Moedas e diferenças cambiais,4,Calcular diferença cambial realizada na liquidação.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-03,Moedas e diferenças cambiais,5,Calcular diferença cambial não realizada em reavaliações.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-03,Moedas e diferenças cambiais,6,"Tratar contas bancárias, fornecedores e clientes em USD."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-03,Moedas e diferenças cambiais,7,Preservar dívida original em USD mesmo quando paga em ARS.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-03,Moedas e diferenças cambiais,8,Gerar memória de cálculo e lançamentos de ajuste/reversão.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-04,"Livros, períodos e controles",1,"Manter livros, diários e sequências de lançamento."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-04,"Livros, períodos e controles",2,"Criar períodos diário, semanal, mensal, semestral, anual e fiscal."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-04,"Livros, períodos e controles",3,"Abrir, fechar, bloquear e reabrir períodos com permissão."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-04,"Livros, períodos e controles",4,"Controlar cutoff por data operacional, fiscal e contábil."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-04,"Livros, períodos e controles",5,Bloquear postagem comum em período fechado.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-04,"Livros, períodos e controles",6,Permitir ajuste autorizado em período especial.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-04,"Livros, períodos e controles",7,"Manter numeração, integridade, logs e evidências."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-04,"Livros, períodos e controles",8,"Gerar painel de lançamentos pendentes, rejeitados e não contabilizados."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-05,"Razão, balanço, DRE e drill-down",1,"Consultar razão geral e detalhe por conta, dimensão, documento e período."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-05,"Razão, balanço, DRE e drill-down",2,"Gerar balancete, balanço patrimonial e DRE."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-05,"Razão, balanço, DRE e drill-down",3,Apresentar valores em ARS e USD.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-05,"Razão, balanço, DRE e drill-down",4,Reproduzir o layout de balanço aprovado com hierarquia e subtotais.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-05,"Razão, balanço, DRE e drill-down",5,"Permitir drill-down até lançamento, linha e evento operacional."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-05,"Razão, balanço, DRE e drill-down",6,"Comparar períodos, orçamento e variações."
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-05,"Razão, balanço, DRE e drill-down",7,Exportar Excel/PDF com filtros e memória de geração.
ACCOUNTING,Contábil — fundação,SM-ACCOUNTING-05,"Razão, balanço, DRE e drill-down",8,Validar equação patrimonial e reconciliação com o General Ledger.
INVENTORY,Estoque,SM-INVENTORY-01,"Depósitos, posições e disponibilidade",1,"Manter depósitos nacionais, fiscais, terceirizados e futuros depósitos próprios."
INVENTORY,Estoque,SM-INVENTORY-01,"Depósitos, posições e disponibilidade",2,"Controlar código, tipo, endereço, zonas e capacidade."
INVENTORY,Estoque,SM-INVENTORY-01,"Depósitos, posições e disponibilidade",3,Manter hierarquia Zona → Rua → Rack → Nível → Posição.
INVENTORY,Estoque,SM-INVENTORY-01,"Depósitos, posições e disponibilidade",4,Ativar ou desativar níveis de endereçamento por depósito.
INVENTORY,Estoque,SM-INVENTORY-01,"Depósitos, posições e disponibilidade",5,Controlar locais virtuais como trânsito e porto.
INVENTORY,Estoque,SM-INVENTORY-01,"Depósitos, posições e disponibilidade",6,"Consultar saldo físico, disponível, reservado e bloqueado."
INVENTORY,Estoque,SM-INVENTORY-01,"Depósitos, posições e disponibilidade",7,Calcular available-to-promise por SKU e depósito.
INVENTORY,Estoque,SM-INVENTORY-01,"Depósitos, posições e disponibilidade",8,"Exibir mapa e filtros por posição, despacho, contêiner e status."
INVENTORY,Estoque,SM-INVENTORY-02,Recebimentos e movimentos,1,"Receber mercadoria de importação, compra, devolução ou transferência."
INVENTORY,Estoque,SM-INVENTORY-02,Recebimentos e movimentos,2,"Criar movimentos de entrada, saída, transferência e reclassificação."
INVENTORY,Estoque,SM-INVENTORY-02,Recebimentos e movimentos,3,"Vincular movimento a SKU, despacho, contêiner, posição e documento."
INVENTORY,Estoque,SM-INVENTORY-02,Recebimentos e movimentos,4,"Controlar quantidade, unidade, data, responsável e evidência."
INVENTORY,Estoque,SM-INVENTORY-02,Recebimentos e movimentos,5,Registrar remito assinado e confirmação de descarga.
INVENTORY,Estoque,SM-INVENTORY-02,Recebimentos e movimentos,6,Impedir movimento duplicado ou saldo negativo não autorizado.
INVENTORY,Estoque,SM-INVENTORY-02,Recebimentos e movimentos,7,Executar movimentação em lote com pré-validação.
INVENTORY,Estoque,SM-INVENTORY-02,Recebimentos e movimentos,8,Manter razão de estoque append-only e auditável.
INVENTORY,Estoque,SM-INVENTORY-03,"Reserva, alocação e FIFO",1,"Reservar estoque somente após confirmação do pedido, não no orçamento."
INVENTORY,Estoque,SM-INVENTORY-03,"Reserva, alocação e FIFO",2,Alocar por camada FIFO a partir da disponibilidade para venda.
INVENTORY,Estoque,SM-INVENTORY-03,"Reserva, alocação e FIFO",3,Permitir reserva e entrega parciais.
INVENTORY,Estoque,SM-INVENTORY-03,"Reserva, alocação e FIFO",4,"Liberar, substituir ou cancelar reserva com histórico."
INVENTORY,Estoque,SM-INVENTORY-03,"Reserva, alocação e FIFO",5,"Priorizar depósito, despacho ou camada por regra configurável."
INVENTORY,Estoque,SM-INVENTORY-03,"Reserva, alocação e FIFO",6,Tratar concorrência de dois pedidos disputando o mesmo saldo.
INVENTORY,Estoque,SM-INVENTORY-03,"Reserva, alocação e FIFO",7,Exibir disponibilidade antes e depois da reserva.
INVENTORY,Estoque,SM-INVENTORY-03,"Reserva, alocação e FIFO",8,"Gerar eventos para comercial, logística, custo e contabilidade."
INVENTORY,Estoque,SM-INVENTORY-04,Sincronização com operadores,1,Receber posição e movimentos por API ou Excel por depósito.
INVENTORY,Estoque,SM-INVENTORY-04,Sincronização com operadores,2,Importar snapshot semanal às sextas-feiras às 15:30.
INVENTORY,Estoque,SM-INVENTORY-04,Sincronização com operadores,3,"Validar layout, duplicidade, SKU, quantidades e data do movimento."
INVENTORY,Estoque,SM-INVENTORY-04,Sincronização com operadores,4,"Manter resumo semanal e detalhe por posição, despacho e contêiner."
INVENTORY,Estoque,SM-INVENTORY-04,Sincronização com operadores,5,Comparar ERP versus arquivo do operador.
INVENTORY,Estoque,SM-INVENTORY-04,Sincronização com operadores,6,Conservar a sugestão automática e permitir revisão manual.
INVENTORY,Estoque,SM-INVENTORY-04,Sincronização com operadores,7,Enfileirar arquivos inválidos e devolver erros por linha.
INVENTORY,Estoque,SM-INVENTORY-04,Sincronização com operadores,8,"Controlar último arquivo válido, origem e histórico de reprocessamento."
INVENTORY,Estoque,SM-INVENTORY-05,"Ajustes, perdas e relatórios",1,"Abrir ocorrência para qualquer divergência, com tolerância zero."
INVENTORY,Estoque,SM-INVENTORY-05,"Ajustes, perdas e relatórios",2,Executar recontagem e investigação antes do ajuste.
INVENTORY,Estoque,SM-INVENTORY-05,"Ajustes, perdas e relatórios",3,"Registrar perda, sobra, avaria ou erro de posição."
INVENTORY,Estoque,SM-INVENTORY-05,"Ajustes, perdas e relatórios",4,Exigir aprovação conforme campo e criticidade.
INVENTORY,Estoque,SM-INVENTORY-05,"Ajustes, perdas e relatórios",5,Criar conta a cobrar do operador quando a perda for confirmada.
INVENTORY,Estoque,SM-INVENTORY-05,"Ajustes, perdas e relatórios",6,Preservar saldo anterior e movimento compensatório.
INVENTORY,Estoque,SM-INVENTORY-05,"Ajustes, perdas e relatórios",7,"Gerar relatórios de saldo, giro, aging, divergência e perdas."
INVENTORY,Estoque,SM-INVENTORY-05,"Ajustes, perdas e relatórios",8,"Permitir drill-down até remito, arquivo, usuário e evidência."
TREASURY,Tesouraria,SM-TREASURY-01,Contas bancárias e posição de caixa,1,"Manter contas por banco, país, moeda, titularidade e status."
TREASURY,Tesouraria,SM-TREASURY-01,Contas bancárias e posição de caixa,2,Suportar contas em ARS e USD na Argentina e contas no exterior.
TREASURY,Tesouraria,SM-TREASURY-01,Contas bancárias e posição de caixa,3,"Controlar saldo contábil, bancário, conciliado, disponível e projetado."
TREASURY,Tesouraria,SM-TREASURY-01,Contas bancárias e posição de caixa,4,"Importar extratos por arquivo e, futuramente, API."
TREASURY,Tesouraria,SM-TREASURY-01,Contas bancárias e posição de caixa,5,Manter histórico de alterações bancárias e aprovações.
TREASURY,Tesouraria,SM-TREASURY-01,Contas bancárias e posição de caixa,6,Exibir posição consolidada e por conta/moeda.
TREASURY,Tesouraria,SM-TREASURY-01,Contas bancárias e posição de caixa,7,"Controlar limites, bloqueios, tarifas e dados de liquidação."
