id,level,unit_id,module,submodule,pr,capability_code,capability,lens_code,lens,layout_id
M-COMEX-Q0023,MODULE,M-COMEX,COMEX,,,ACTOR,atores e responsabilidades,FLOW,fluxo ponta a ponta,LAY-13
M-COMEX-Q0024,MODULE,M-COMEX,COMEX,,,ACTOR,atores e responsabilidades,DATA,dados e fonte da verdade,LAY-13
M-COMEX-Q0025,MODULE,M-COMEX,COMEX,,,ACTOR,atores e responsabilidades,RULE,regra e parametrização,LAY-13
M-COMEX-Q0026,MODULE,M-COMEX,COMEX,,,ACTOR,atores e responsabilidades,UX,layout e experiência,LAY-13
M-COMEX-Q0027,MODULE,M-COMEX,COMEX,,,ACTOR,atores e responsabilidades,AUTO,automação e tempo,LAY-13
M-COMEX-Q0028,MODULE,M-COMEX,COMEX,,,ACTOR,atores e responsabilidades,CTRL,"controle, risco e auditoria",LAY-13
M-COMEX-Q0029,MODULE,M-COMEX,COMEX,,,ACTOR,atores e responsabilidades,MET,métrica e observabilidade,LAY-13
M-COMEX-Q0030,MODULE,M-COMEX,COMEX,,,ACTOR,atores e responsabilidades,ACC,aceite e evolução,LAY-13
M-COMEX-Q0031,MODULE,M-COMEX,COMEX,,,MDM,dados mestres utilizados,ESC,escopo estratégico,LAY-01
M-COMEX-Q0032,MODULE,M-COMEX,COMEX,,,MDM,dados mestres utilizados,OWN,ownership e governança,LAY-01
M-COMEX-Q0033,MODULE,M-COMEX,COMEX,,,MDM,dados mestres utilizados,FLOW,fluxo ponta a ponta,LAY-01
M-COMEX-Q0034,MODULE,M-COMEX,COMEX,,,MDM,dados mestres utilizados,DATA,dados e fonte da verdade,LAY-01
M-COMEX-Q0035,MODULE,M-COMEX,COMEX,,,MDM,dados mestres utilizados,RULE,regra e parametrização,LAY-01
M-COMEX-Q0036,MODULE,M-COMEX,COMEX,,,MDM,dados mestres utilizados,UX,layout e experiência,LAY-01
M-COMEX-Q0037,MODULE,M-COMEX,COMEX,,,MDM,dados mestres utilizados,AUTO,automação e tempo,LAY-01
M-COMEX-Q0038,MODULE,M-COMEX,COMEX,,,MDM,dados mestres utilizados,CTRL,"controle, risco e auditoria",LAY-01
M-COMEX-Q0039,MODULE,M-COMEX,COMEX,,,MDM,dados mestres utilizados,MET,métrica e observabilidade,LAY-01
M-COMEX-Q0040,MODULE,M-COMEX,COMEX,,,MDM,dados mestres utilizados,ACC,aceite e evolução,LAY-01
M-COMEX-Q0041,MODULE,M-COMEX,COMEX,,,HDR,dados de cabeçalho,ESC,escopo estratégico,LAY-02
M-COMEX-Q0042,MODULE,M-COMEX,COMEX,,,HDR,dados de cabeçalho,OWN,ownership e governança,LAY-02
M-COMEX-Q0043,MODULE,M-COMEX,COMEX,,,HDR,dados de cabeçalho,FLOW,fluxo ponta a ponta,LAY-02
M-COMEX-Q0044,MODULE,M-COMEX,COMEX,,,HDR,dados de cabeçalho,DATA,dados e fonte da verdade,LAY-02
M-COMEX-Q0045,MODULE,M-COMEX,COMEX,,,HDR,dados de cabeçalho,RULE,regra e parametrização,LAY-02
M-COMEX-Q0046,MODULE,M-COMEX,COMEX,,,HDR,dados de cabeçalho,UX,layout e experiência,LAY-02
M-COMEX-Q0047,MODULE,M-COMEX,COMEX,,,HDR,dados de cabeçalho,AUTO,automação e tempo,LAY-02
M-COMEX-Q0048,MODULE,M-COMEX,COMEX,,,HDR,dados de cabeçalho,CTRL,"controle, risco e auditoria",LAY-02
M-COMEX-Q0049,MODULE,M-COMEX,COMEX,,,HDR,dados de cabeçalho,MET,métrica e observabilidade,LAY-02
M-COMEX-Q0050,MODULE,M-COMEX,COMEX,,,HDR,dados de cabeçalho,ACC,aceite e evolução,LAY-02
M-COMEX-Q0051,MODULE,M-COMEX,COMEX,,,LINE,linhas e detalhamento,ESC,escopo estratégico,LAY-07
M-COMEX-Q0052,MODULE,M-COMEX,COMEX,,,LINE,linhas e detalhamento,OWN,ownership e governança,LAY-07
M-COMEX-Q0053,MODULE,M-COMEX,COMEX,,,LINE,linhas e detalhamento,FLOW,fluxo ponta a ponta,LAY-07
M-COMEX-Q0054,MODULE,M-COMEX,COMEX,,,LINE,linhas e detalhamento,DATA,dados e fonte da verdade,LAY-07
M-COMEX-Q0055,MODULE,M-COMEX,COMEX,,,LINE,linhas e detalhamento,RULE,regra e parametrização,LAY-07
M-COMEX-Q0056,MODULE,M-COMEX,COMEX,,,LINE,linhas e detalhamento,UX,layout e experiência,LAY-07
M-COMEX-Q0057,MODULE,M-COMEX,COMEX,,,LINE,linhas e detalhamento,AUTO,automação e tempo,LAY-07
M-COMEX-Q0058,MODULE,M-COMEX,COMEX,,,LINE,linhas e detalhamento,CTRL,"controle, risco e auditoria",LAY-07
M-COMEX-Q0059,MODULE,M-COMEX,COMEX,,,LINE,linhas e detalhamento,MET,métrica e observabilidade,LAY-07
M-COMEX-Q0060,MODULE,M-COMEX,COMEX,,,LINE,linhas e detalhamento,ACC,aceite e evolução,LAY-07
M-COMEX-Q0061,MODULE,M-COMEX,COMEX,,,STATE,estados do ciclo de vida,ESC,escopo estratégico,LAY-09
M-COMEX-Q0062,MODULE,M-COMEX,COMEX,,,STATE,estados do ciclo de vida,OWN,ownership e governança,LAY-09
M-COMEX-Q0063,MODULE,M-COMEX,COMEX,,,STATE,estados do ciclo de vida,FLOW,fluxo ponta a ponta,LAY-09
M-COMEX-Q0064,MODULE,M-COMEX,COMEX,,,STATE,estados do ciclo de vida,DATA,dados e fonte da verdade,LAY-09
M-COMEX-Q0065,MODULE,M-COMEX,COMEX,,,STATE,estados do ciclo de vida,RULE,regra e parametrização,LAY-09
M-COMEX-Q0066,MODULE,M-COMEX,COMEX,,,STATE,estados do ciclo de vida,UX,layout e experiência,LAY-09
M-COMEX-Q0067,MODULE,M-COMEX,COMEX,,,STATE,estados do ciclo de vida,AUTO,automação e tempo,LAY-09
M-COMEX-Q0068,MODULE,M-COMEX,COMEX,,,STATE,estados do ciclo de vida,CTRL,"controle, risco e auditoria",LAY-09
M-COMEX-Q0069,MODULE,M-COMEX,COMEX,,,STATE,estados do ciclo de vida,MET,métrica e observabilidade,LAY-09
M-COMEX-Q0070,MODULE,M-COMEX,COMEX,,,STATE,estados do ciclo de vida,ACC,aceite e evolução,LAY-09
M-COMEX-Q0071,MODULE,M-COMEX,COMEX,,,TRANS,transições e próxima ação,ESC,escopo estratégico,LAY-02
M-COMEX-Q0072,MODULE,M-COMEX,COMEX,,,TRANS,transições e próxima ação,OWN,ownership e governança,LAY-02
M-COMEX-Q0073,MODULE,M-COMEX,COMEX,,,TRANS,transições e próxima ação,FLOW,fluxo ponta a ponta,LAY-02
M-COMEX-Q0074,MODULE,M-COMEX,COMEX,,,TRANS,transições e próxima ação,DATA,dados e fonte da verdade,LAY-02
M-COMEX-Q0075,MODULE,M-COMEX,COMEX,,,TRANS,transições e próxima ação,RULE,regra e parametrização,LAY-02
M-COMEX-Q0076,MODULE,M-COMEX,COMEX,,,TRANS,transições e próxima ação,UX,layout e experiência,LAY-02
M-COMEX-Q0077,MODULE,M-COMEX,COMEX,,,TRANS,transições e próxima ação,AUTO,automação e tempo,LAY-02
M-COMEX-Q0078,MODULE,M-COMEX,COMEX,,,TRANS,transições e próxima ação,CTRL,"controle, risco e auditoria",LAY-02
M-COMEX-Q0079,MODULE,M-COMEX,COMEX,,,TRANS,transições e próxima ação,MET,métrica e observabilidade,LAY-02
M-COMEX-Q0080,MODULE,M-COMEX,COMEX,,,TRANS,transições e próxima ação,ACC,aceite e evolução,LAY-02
M-COMEX-Q0081,MODULE,M-COMEX,COMEX,,,TRIG,gatilhos e eventos,ESC,escopo estratégico,LAY-09
M-COMEX-Q0082,MODULE,M-COMEX,COMEX,,,TRIG,gatilhos e eventos,OWN,ownership e governança,LAY-09
M-COMEX-Q0083,MODULE,M-COMEX,COMEX,,,TRIG,gatilhos e eventos,FLOW,fluxo ponta a ponta,LAY-09
M-COMEX-Q0084,MODULE,M-COMEX,COMEX,,,TRIG,gatilhos e eventos,DATA,dados e fonte da verdade,LAY-09
M-COMEX-Q0085,MODULE,M-COMEX,COMEX,,,TRIG,gatilhos e eventos,RULE,regra e parametrização,LAY-09
M-COMEX-Q0086,MODULE,M-COMEX,COMEX,,,TRIG,gatilhos e eventos,UX,layout e experiência,LAY-09
M-COMEX-Q0087,MODULE,M-COMEX,COMEX,,,TRIG,gatilhos e eventos,AUTO,automação e tempo,LAY-09
M-COMEX-Q0088,MODULE,M-COMEX,COMEX,,,TRIG,gatilhos e eventos,CTRL,"controle, risco e auditoria",LAY-09
M-COMEX-Q0089,MODULE,M-COMEX,COMEX,,,TRIG,gatilhos e eventos,MET,métrica e observabilidade,LAY-09
M-COMEX-Q0090,MODULE,M-COMEX,COMEX,,,TRIG,gatilhos e eventos,ACC,aceite e evolução,LAY-09
M-COMEX-Q0091,MODULE,M-COMEX,COMEX,,,APPR,aprovações e alçadas,ESC,escopo estratégico,LAY-03
M-COMEX-Q0092,MODULE,M-COMEX,COMEX,,,APPR,aprovações e alçadas,OWN,ownership e governança,LAY-03
M-COMEX-Q0093,MODULE,M-COMEX,COMEX,,,APPR,aprovações e alçadas,FLOW,fluxo ponta a ponta,LAY-03
M-COMEX-Q0094,MODULE,M-COMEX,COMEX,,,APPR,aprovações e alçadas,DATA,dados e fonte da verdade,LAY-03
M-COMEX-Q0095,MODULE,M-COMEX,COMEX,,,APPR,aprovações e alçadas,RULE,regra e parametrização,LAY-03
M-COMEX-Q0096,MODULE,M-COMEX,COMEX,,,APPR,aprovações e alçadas,UX,layout e experiência,LAY-03
M-COMEX-Q0097,MODULE,M-COMEX,COMEX,,,APPR,aprovações e alçadas,AUTO,automação e tempo,LAY-03
M-COMEX-Q0098,MODULE,M-COMEX,COMEX,,,APPR,aprovações e alçadas,CTRL,"controle, risco e auditoria",LAY-03
M-COMEX-Q0099,MODULE,M-COMEX,COMEX,,,APPR,aprovações e alçadas,MET,métrica e observabilidade,LAY-03
M-COMEX-Q0100,MODULE,M-COMEX,COMEX,,,APPR,aprovações e alçadas,ACC,aceite e evolução,LAY-03
M-COMEX-Q0101,MODULE,M-COMEX,COMEX,,,OVR,override do master,ESC,escopo estratégico,LAY-08
M-COMEX-Q0102,MODULE,M-COMEX,COMEX,,,OVR,override do master,OWN,ownership e governança,LAY-08
M-COMEX-Q0103,MODULE,M-COMEX,COMEX,,,OVR,override do master,FLOW,fluxo ponta a ponta,LAY-08
M-COMEX-Q0104,MODULE,M-COMEX,COMEX,,,OVR,override do master,DATA,dados e fonte da verdade,LAY-08
M-COMEX-Q0105,MODULE,M-COMEX,COMEX,,,OVR,override do master,RULE,regra e parametrização,LAY-08
M-COMEX-Q0106,MODULE,M-COMEX,COMEX,,,OVR,override do master,UX,layout e experiência,LAY-08
M-COMEX-Q0107,MODULE,M-COMEX,COMEX,,,OVR,override do master,AUTO,automação e tempo,LAY-08
M-COMEX-Q0108,MODULE,M-COMEX,COMEX,,,OVR,override do master,CTRL,"controle, risco e auditoria",LAY-08
M-COMEX-Q0109,MODULE,M-COMEX,COMEX,,,OVR,override do master,MET,métrica e observabilidade,LAY-08
M-COMEX-Q0110,MODULE,M-COMEX,COMEX,,,OVR,override do master,ACC,aceite e evolução,LAY-08
M-COMEX-Q0111,MODULE,M-COMEX,COMEX,,,VAL,validações bloqueantes,ESC,escopo estratégico,LAY-08
M-COMEX-Q0112,MODULE,M-COMEX,COMEX,,,VAL,validações bloqueantes,OWN,ownership e governança,LAY-08
M-COMEX-Q0113,MODULE,M-COMEX,COMEX,,,VAL,validações bloqueantes,FLOW,fluxo ponta a ponta,LAY-08
M-COMEX-Q0114,MODULE,M-COMEX,COMEX,,,VAL,validações bloqueantes,DATA,dados e fonte da verdade,LAY-08
M-COMEX-Q0115,MODULE,M-COMEX,COMEX,,,VAL,validações bloqueantes,RULE,regra e parametrização,LAY-08
M-COMEX-Q0116,MODULE,M-COMEX,COMEX,,,VAL,validações bloqueantes,UX,layout e experiência,LAY-08
M-COMEX-Q0117,MODULE,M-COMEX,COMEX,,,VAL,validações bloqueantes,AUTO,automação e tempo,LAY-08
M-COMEX-Q0118,MODULE,M-COMEX,COMEX,,,VAL,validações bloqueantes,CTRL,"controle, risco e auditoria",LAY-08
M-COMEX-Q0119,MODULE,M-COMEX,COMEX,,,VAL,validações bloqueantes,MET,métrica e observabilidade,LAY-08
M-COMEX-Q0120,MODULE,M-COMEX,COMEX,,,VAL,validações bloqueantes,ACC,aceite e evolução,LAY-08
M-COMEX-Q0121,MODULE,M-COMEX,COMEX,,,WARN,alertas não bloqueantes,ESC,escopo estratégico,LAY-14
M-COMEX-Q0122,MODULE,M-COMEX,COMEX,,,WARN,alertas não bloqueantes,OWN,ownership e governança,LAY-14
M-COMEX-Q0123,MODULE,M-COMEX,COMEX,,,WARN,alertas não bloqueantes,FLOW,fluxo ponta a ponta,LAY-14
M-COMEX-Q0124,MODULE,M-COMEX,COMEX,,,WARN,alertas não bloqueantes,DATA,dados e fonte da verdade,LAY-14
M-COMEX-Q0125,MODULE,M-COMEX,COMEX,,,WARN,alertas não bloqueantes,RULE,regra e parametrização,LAY-14
M-COMEX-Q0126,MODULE,M-COMEX,COMEX,,,WARN,alertas não bloqueantes,UX,layout e experiência,LAY-14
M-COMEX-Q0127,MODULE,M-COMEX,COMEX,,,WARN,alertas não bloqueantes,AUTO,automação e tempo,LAY-14
M-COMEX-Q0128,MODULE,M-COMEX,COMEX,,,WARN,alertas não bloqueantes,CTRL,"controle, risco e auditoria",LAY-14
M-COMEX-Q0129,MODULE,M-COMEX,COMEX,,,WARN,alertas não bloqueantes,MET,métrica e observabilidade,LAY-14
M-COMEX-Q0130,MODULE,M-COMEX,COMEX,,,WARN,alertas não bloqueantes,ACC,aceite e evolução,LAY-14
M-COMEX-Q0131,MODULE,M-COMEX,COMEX,,,ERR,erros e recuperação,ESC,escopo estratégico,LAY-15
M-COMEX-Q0132,MODULE,M-COMEX,COMEX,,,ERR,erros e recuperação,OWN,ownership e governança,LAY-15
M-COMEX-Q0133,MODULE,M-COMEX,COMEX,,,ERR,erros e recuperação,FLOW,fluxo ponta a ponta,LAY-15
M-COMEX-Q0134,MODULE,M-COMEX,COMEX,,,ERR,erros e recuperação,DATA,dados e fonte da verdade,LAY-15
M-COMEX-Q0135,MODULE,M-COMEX,COMEX,,,ERR,erros e recuperação,RULE,regra e parametrização,LAY-15
M-COMEX-Q0136,MODULE,M-COMEX,COMEX,,,ERR,erros e recuperação,UX,layout e experiência,LAY-15
M-COMEX-Q0137,MODULE,M-COMEX,COMEX,,,ERR,erros e recuperação,AUTO,automação e tempo,LAY-15
M-COMEX-Q0138,MODULE,M-COMEX,COMEX,,,ERR,erros e recuperação,CTRL,"controle, risco e auditoria",LAY-15
M-COMEX-Q0139,MODULE,M-COMEX,COMEX,,,ERR,erros e recuperação,MET,métrica e observabilidade,LAY-15
M-COMEX-Q0140,MODULE,M-COMEX,COMEX,,,ERR,erros e recuperação,ACC,aceite e evolução,LAY-15
M-COMEX-Q0141,MODULE,M-COMEX,COMEX,,,DOC,documentos obrigatórios,ESC,escopo estratégico,LAY-16
M-COMEX-Q0142,MODULE,M-COMEX,COMEX,,,DOC,documentos obrigatórios,OWN,ownership e governança,LAY-16
M-COMEX-Q0143,MODULE,M-COMEX,COMEX,,,DOC,documentos obrigatórios,FLOW,fluxo ponta a ponta,LAY-16
M-COMEX-Q0144,MODULE,M-COMEX,COMEX,,,DOC,documentos obrigatórios,DATA,dados e fonte da verdade,LAY-16
M-COMEX-Q0145,MODULE,M-COMEX,COMEX,,,DOC,documentos obrigatórios,RULE,regra e parametrização,LAY-16
M-COMEX-Q0146,MODULE,M-COMEX,COMEX,,,DOC,documentos obrigatórios,UX,layout e experiência,LAY-16
M-COMEX-Q0147,MODULE,M-COMEX,COMEX,,,DOC,documentos obrigatórios,AUTO,automação e tempo,LAY-16
M-COMEX-Q0148,MODULE,M-COMEX,COMEX,,,DOC,documentos obrigatórios,CTRL,"controle, risco e auditoria",LAY-16
M-COMEX-Q0149,MODULE,M-COMEX,COMEX,,,DOC,documentos obrigatórios,MET,métrica e observabilidade,LAY-16
M-COMEX-Q0150,MODULE,M-COMEX,COMEX,,,DOC,documentos obrigatórios,ACC,aceite e evolução,LAY-16
M-COMEX-Q0151,MODULE,M-COMEX,COMEX,,,ATT,anexos e versões,ESC,escopo estratégico,LAY-16
M-COMEX-Q0152,MODULE,M-COMEX,COMEX,,,ATT,anexos e versões,OWN,ownership e governança,LAY-16
M-COMEX-Q0153,MODULE,M-COMEX,COMEX,,,ATT,anexos e versões,FLOW,fluxo ponta a ponta,LAY-16
M-COMEX-Q0154,MODULE,M-COMEX,COMEX,,,ATT,anexos e versões,DATA,dados e fonte da verdade,LAY-16
M-COMEX-Q0155,MODULE,M-COMEX,COMEX,,,ATT,anexos e versões,RULE,regra e parametrização,LAY-16
M-COMEX-Q0156,MODULE,M-COMEX,COMEX,,,ATT,anexos e versões,UX,layout e experiência,LAY-16
M-COMEX-Q0157,MODULE,M-COMEX,COMEX,,,ATT,anexos e versões,AUTO,automação e tempo,LAY-16
M-COMEX-Q0158,MODULE,M-COMEX,COMEX,,,ATT,anexos e versões,CTRL,"controle, risco e auditoria",LAY-16
M-COMEX-Q0159,MODULE,M-COMEX,COMEX,,,ATT,anexos e versões,MET,métrica e observabilidade,LAY-16
M-COMEX-Q0160,MODULE,M-COMEX,COMEX,,,ATT,anexos e versões,ACC,aceite e evolução,LAY-16
M-COMEX-Q0161,MODULE,M-COMEX,COMEX,,,OCR,OCR e extração,ESC,escopo estratégico,LAY-17
M-COMEX-Q0162,MODULE,M-COMEX,COMEX,,,OCR,OCR e extração,OWN,ownership e governança,LAY-17
M-COMEX-Q0163,MODULE,M-COMEX,COMEX,,,OCR,OCR e extração,FLOW,fluxo ponta a ponta,LAY-17
M-COMEX-Q0164,MODULE,M-COMEX,COMEX,,,OCR,OCR e extração,DATA,dados e fonte da verdade,LAY-17
M-COMEX-Q0165,MODULE,M-COMEX,COMEX,,,OCR,OCR e extração,RULE,regra e parametrização,LAY-17
M-COMEX-Q0166,MODULE,M-COMEX,COMEX,,,OCR,OCR e extração,UX,layout e experiência,LAY-17
M-COMEX-Q0167,MODULE,M-COMEX,COMEX,,,OCR,OCR e extração,AUTO,automação e tempo,LAY-17
M-COMEX-Q0168,MODULE,M-COMEX,COMEX,,,OCR,OCR e extração,CTRL,"controle, risco e auditoria",LAY-17
M-COMEX-Q0169,MODULE,M-COMEX,COMEX,,,OCR,OCR e extração,MET,métrica e observabilidade,LAY-17
M-COMEX-Q0170,MODULE,M-COMEX,COMEX,,,OCR,OCR e extração,ACC,aceite e evolução,LAY-17
M-COMEX-Q0171,MODULE,M-COMEX,COMEX,,,SEARCH,busca global e local,ESC,escopo estratégico,LAY-18
M-COMEX-Q0172,MODULE,M-COMEX,COMEX,,,SEARCH,busca global e local,OWN,ownership e governança,LAY-18
M-COMEX-Q0173,MODULE,M-COMEX,COMEX,,,SEARCH,busca global e local,FLOW,fluxo ponta a ponta,LAY-18
M-COMEX-Q0174,MODULE,M-COMEX,COMEX,,,SEARCH,busca global e local,DATA,dados e fonte da verdade,LAY-18
M-COMEX-Q0175,MODULE,M-COMEX,COMEX,,,SEARCH,busca global e local,RULE,regra e parametrização,LAY-18
M-COMEX-Q0176,MODULE,M-COMEX,COMEX,,,SEARCH,busca global e local,UX,layout e experiência,LAY-18
M-COMEX-Q0177,MODULE,M-COMEX,COMEX,,,SEARCH,busca global e local,AUTO,automação e tempo,LAY-18
M-COMEX-Q0178,MODULE,M-COMEX,COMEX,,,SEARCH,busca global e local,CTRL,"controle, risco e auditoria",LAY-18
M-COMEX-Q0179,MODULE,M-COMEX,COMEX,,,SEARCH,busca global e local,MET,métrica e observabilidade,LAY-18
M-COMEX-Q0180,MODULE,M-COMEX,COMEX,,,SEARCH,busca global e local,ACC,aceite e evolução,LAY-18
M-COMEX-Q0181,MODULE,M-COMEX,COMEX,,,FILTER,filtros e views salvas,ESC,escopo estratégico,LAY-01
M-COMEX-Q0182,MODULE,M-COMEX,COMEX,,,FILTER,filtros e views salvas,OWN,ownership e governança,LAY-01
M-COMEX-Q0183,MODULE,M-COMEX,COMEX,,,FILTER,filtros e views salvas,FLOW,fluxo ponta a ponta,LAY-01
M-COMEX-Q0184,MODULE,M-COMEX,COMEX,,,FILTER,filtros e views salvas,DATA,dados e fonte da verdade,LAY-01
M-COMEX-Q0185,MODULE,M-COMEX,COMEX,,,FILTER,filtros e views salvas,RULE,regra e parametrização,LAY-01
M-COMEX-Q0186,MODULE,M-COMEX,COMEX,,,FILTER,filtros e views salvas,UX,layout e experiência,LAY-01
M-COMEX-Q0187,MODULE,M-COMEX,COMEX,,,FILTER,filtros e views salvas,AUTO,automação e tempo,LAY-01
M-COMEX-Q0188,MODULE,M-COMEX,COMEX,,,FILTER,filtros e views salvas,CTRL,"controle, risco e auditoria",LAY-01
M-COMEX-Q0189,MODULE,M-COMEX,COMEX,,,FILTER,filtros e views salvas,MET,métrica e observabilidade,LAY-01
M-COMEX-Q0190,MODULE,M-COMEX,COMEX,,,FILTER,filtros e views salvas,ACC,aceite e evolução,LAY-01
M-COMEX-Q0191,MODULE,M-COMEX,COMEX,,,TABLE,"tabela, colunas e ordenação",ESC,escopo estratégico,LAY-01
M-COMEX-Q0192,MODULE,M-COMEX,COMEX,,,TABLE,"tabela, colunas e ordenação",OWN,ownership e governança,LAY-01
M-COMEX-Q0193,MODULE,M-COMEX,COMEX,,,TABLE,"tabela, colunas e ordenação",FLOW,fluxo ponta a ponta,LAY-01
M-COMEX-Q0194,MODULE,M-COMEX,COMEX,,,TABLE,"tabela, colunas e ordenação",DATA,dados e fonte da verdade,LAY-01
M-COMEX-Q0195,MODULE,M-COMEX,COMEX,,,TABLE,"tabela, colunas e ordenação",RULE,regra e parametrização,LAY-01
M-COMEX-Q0196,MODULE,M-COMEX,COMEX,,,TABLE,"tabela, colunas e ordenação",UX,layout e experiência,LAY-01
M-COMEX-Q0197,MODULE,M-COMEX,COMEX,,,TABLE,"tabela, colunas e ordenação",AUTO,automação e tempo,LAY-01
M-COMEX-Q0198,MODULE,M-COMEX,COMEX,,,TABLE,"tabela, colunas e ordenação",CTRL,"controle, risco e auditoria",LAY-01
M-COMEX-Q0199,MODULE,M-COMEX,COMEX,,,TABLE,"tabela, colunas e ordenação",MET,métrica e observabilidade,LAY-01
M-COMEX-Q0200,MODULE,M-COMEX,COMEX,,,TABLE,"tabela, colunas e ordenação",ACC,aceite e evolução,LAY-01
M-COMEX-Q0201,MODULE,M-COMEX,COMEX,,,DETAIL,página de detalhe,ESC,escopo estratégico,LAY-02
M-COMEX-Q0202,MODULE,M-COMEX,COMEX,,,DETAIL,página de detalhe,OWN,ownership e governança,LAY-02
M-COMEX-Q0203,MODULE,M-COMEX,COMEX,,,DETAIL,página de detalhe,FLOW,fluxo ponta a ponta,LAY-02
M-COMEX-Q0204,MODULE,M-COMEX,COMEX,,,DETAIL,página de detalhe,DATA,dados e fonte da verdade,LAY-02
M-COMEX-Q0205,MODULE,M-COMEX,COMEX,,,DETAIL,página de detalhe,RULE,regra e parametrização,LAY-02
M-COMEX-Q0206,MODULE,M-COMEX,COMEX,,,DETAIL,página de detalhe,UX,layout e experiência,LAY-02
M-COMEX-Q0207,MODULE,M-COMEX,COMEX,,,DETAIL,página de detalhe,AUTO,automação e tempo,LAY-02
M-COMEX-Q0208,MODULE,M-COMEX,COMEX,,,DETAIL,página de detalhe,CTRL,"controle, risco e auditoria",LAY-02
M-COMEX-Q0209,MODULE,M-COMEX,COMEX,,,DETAIL,página de detalhe,MET,métrica e observabilidade,LAY-02
M-COMEX-Q0210,MODULE,M-COMEX,COMEX,,,DETAIL,página de detalhe,ACC,aceite e evolução,LAY-02
M-COMEX-Q0211,MODULE,M-COMEX,COMEX,,,CREATE,criação e edição,ESC,escopo estratégico,LAY-04
M-COMEX-Q0212,MODULE,M-COMEX,COMEX,,,CREATE,criação e edição,OWN,ownership e governança,LAY-04
M-COMEX-Q0213,MODULE,M-COMEX,COMEX,,,CREATE,criação e edição,FLOW,fluxo ponta a ponta,LAY-04
M-COMEX-Q0214,MODULE,M-COMEX,COMEX,,,CREATE,criação e edição,DATA,dados e fonte da verdade,LAY-04
M-COMEX-Q0215,MODULE,M-COMEX,COMEX,,,CREATE,criação e edição,RULE,regra e parametrização,LAY-04
M-COMEX-Q0216,MODULE,M-COMEX,COMEX,,,CREATE,criação e edição,UX,layout e experiência,LAY-04
M-COMEX-Q0217,MODULE,M-COMEX,COMEX,,,CREATE,criação e edição,AUTO,automação e tempo,LAY-04
